Title,Content
"Do I have to be a member to purchase treatments?","<p>Yes, Vita Bella is a member-exclusive organization. To access treatments, you must first become a member. Once enrolled, you’ll have a consultation with one of our licensed providers, who will assess your eligibility and prescribe appropriate treatments.&nbsp;</p>
<p>Our membership model allows us to offer wholesale pricing on medications, ensuring the best value for our members.</p>
"
"Is there a minimum commitment for a membership?","<p>Yes, our initial membership package requires a six-month minimum commitment. After the initial term, your membership will automatically renew on a month-to-month basis until you choose to cancel in accordance with our terms and conditions.</p>
"
"Do you take insurance?","<p>No, Vita Bella does not accept insurance or process claims. However, in most cases, our pricing is more affordable than using insurance. We DO accept HSA cards for medication purchases.</p>
"
"In which states do you provide services?","<ul>
<li>We currently provide care in the following 26 states (including Washington D.C.):</li>
<li>AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MO, MT, ND, NE, NH, NM, NV, NY, OH, OK, OR, RI, SD, TN, TX, UT, VA, WA, WI, WY</li>
<li>We are actively expanding and plan to serve all 50 states soon. If your state isn’t listed, please reach out to <a href=""mailto:info@vitabella.com"" target=""_blank"">info@vitabella.com</a>  to check availability and stay updated on our expansion.&nbsp;</li>
</ul>
"
"Do I have to navigate the Vita Bella journey on my own?","<ul>
<li>No — but we empower you to take charge of your wellness journey with confidence! Through our easy-to-use Patient Portal and exceptional customer service, we provide the tools and support you need to stay informed and in control of your health.</li>
<li>Our dedicated team of licensed providers and experts is always available to guide and assist you. Our streamlined platform makes managing your care simple, convenient, and independent — so you can focus on feeling your best.</li>
</ul>
"
"Do you take insurance?","<p>No, Vita Bella does not accept insurance or process claims. However, in most cases, our pricing is more affordable than using insurance. We DO accept HSA cards for medication purchases.</p>
"
"Do you currently offer in-person visits?","<p>Currently, we only offer telemedicine visits (Video and sound) from your computer, tablet, or phone.</p>
"
"What states do you currently serve?","<ul>
<li>We currently provide care in the following 26 states (including Washington D.C.):</li>
<li>AZ, CO, CT, DC, DE, IA, IL, IN, FL, KY, ME, ND, NM, NV, NH, NY, OH, RI, TN, TX, UT, VA, VT, WA, WI, WV</li>
<li>We are actively expanding and plan to serve all 50 states soon. If your state isn’t listed, please reach out to info@vitabella.com to check availability and stay updated on our expansion.</li>
</ul>
"
"Are Vita Bella providers licensed?","<p>Yes, all Vita Bella providers are fully licensed in the state where you reside. Our providers have extensive experience in our treatments and receive specialized training on our medications and protocols to ensure the highest standard of care.</p>
"
"Does Vita Bella require an in-person consultation with a physician?","<p>No. Vita Bella is a fully remote telemedicine service, allowing you to connect with a provider from the comfort of your home. Through our secure platform, you’ll have face-to-face video consultations with your provider — no in-person visits required.</p>
"
"Do you offer in-person visits?","<p>Currently we only offer video conferencing visits from your computer, tablet, or phone.</p>
"
"How does Vita Bella handle my existing prescriptions?","<p>Vita Bella is a wellness company focused on optimizing your health — not a replacement for your primary care or specialist provider. While we do not manage acute conditions or ongoing diagnosis-based treatments (such as blood pressure or cholesterol medications), we can prescribe medications that fall within our scope of care.</p>
<p>If you’re already taking a medication that we offer, our providers can continue prescribing it as long as it falls within the recommended dosage and treatment guidelines.</p>
"
"Are Vita Bella providers licensed?","<p>Yes, all Vita Bella providers are fully licensed in the state where you reside. Our providers have extensive experience with our treatments and receive specialized training on our medications and protocols to ensure the highest standard of care.</p>
<p></p>
<p></p>
"
"Where does Vita Bella source its medications?","<p>Vita Bella and its team of providers partner with highly accredited, top-tier compounding pharmacies across the country. This partnership ensures you receive the highest-quality medications at the most competitive prices.</p>
"
"Do I need to get lab work done?","<p>Lab work is not always required, but is highly recommended. If you’re considering hormone therapy, an Essential Lab Panel is required before treatment. We also offer a Comprehensive Lab Panel which includes additional key health markers for a more in-depth evaluation of your overall wellness.</p>
"
"Where do I get lab work done?","<p>Your Vita Bella Support Team will handle your lab order and provide detailed instructions on how to schedule and complete your lab work through the Patient Portal. Labs are processed through Quest Diagnostics, where you can either visit a local facility for your blood draw or schedule an at-home draw at your convenience.</p>
"
"Is the cost of labs included in my membership?","<p>No, lab costs are not included in your membership. However, we negotiate the lowest possible prices so you can access affordable lab testing without needing insurance.</p>
"
"When are labs required?","<p>We always recommend lab testing for optimal care. However, labs are only required for patients seeking hormone therapy (e.g., testosterone, enclomiphene). We offer two types of lab panels: the Essential Panel and the Comprehensive Panel. These tests must be completed before any medication can be prescribed.</p>
"
"What biomarkers are measured in the Essential Lab Panel for $89?","<p>Our $89 Essential Panel evaluates key health markers related to hormone therapy, including:</p>
<ul>
<li>Complete Blood Count (CBC) w/ Platelet</li>
<li>Complete Metabolic Panel (CMP)</li>
<li>Estradiol</li>
<li>Follicle-Stimulating Hormone (FSH) and LH</li>
<li>Free and Total Testosterone</li>
<li>Lipid Panel</li>
<li>Prolactin</li>
<li>Prostate Specific Antigen (PSA)</li>
<li>Sex Hormone Binding Globulin (SHBG)</li>
</ul>
"
"What biomarkers are measured in the Comprehensive Panel for $189?","<p>Our $189 Comprehensive Panel provides a deep analysis of overall health and hormone balance, including:</p>
<ul>
<li>Complete Blood Count (CBC) w/ Platelet</li>
<li>Complete Metabolic Panel (CMP)</li>
<li>Dehydroepiandrosterone (DHEA)</li>
<li>Sulfate</li>
<li>Estradiol</li>
<li>Follicle-Stimulating Hormone (FSH) and LH</li>
<li>Free and Total Testosterone</li>
<li>hCG, Qualitative, Urine (Female only)</li>
<li>Hemoglobin A1c</li>
<li>Homocysteine</li>
<li>Insulin-like Growth Factor 1 (IGF-1)</li>
<li>Lipid Panel</li>
<li>Prolactin</li>
<li>Prostate Specific Antigen (PSA) (Male only)</li>
<li>Sex Hormone Binding Globulin (SHBG)</li>
<li>Thyroid Stimulating Hormone (TSH)</li>
<li>Vitamin D 25-Hydroxy</li>
</ul>
"
"When will I receive my order?","<p>Each order is custom-made and shipped directly to your door. Once your Vita Bella provider submits your prescription, your medication will be processed and delivered within 3 - 7 days. We will keep you updated through the Patient Portal and provide tracking information once your order has shipped.</p>
"
"Can I return my order?","<p>Unfortunately, due to strict regulations, neither Vita Bella nor our partner pharmacies are able to accept returns on medications.</p>
"
"What can I expect during my initial consultation?","<p>During your initial virtual consultation, a licensed provider will review your medical history, discuss your wellness goals, and recommend appropriate treatments. This comprehensive assessment ensures your care plan aligns with your individual health needs.</p>
"
"How do I schedule follow-up appointments?","<p>You can easily schedule follow-up appointments through our secure Patient Portal by visiting the Appointments tab. Our platform offers the flexibility to choose times that fit your schedule, ensuring continuous support throughout your wellness journey.&nbsp;</p>
"
"How do I contact customer support?","<p>For any questions or assistance, you can reach your Vita Bella Support Team through the Secure Messaging tab within your Patient Portal for the quickest response. We’re here to ensure your experience with Vita Bella is seamless and supportive.&nbsp;</p>
<p>You can also email <a href=""mailto:info@vitabella.com"" target=""_self""><span style=""color: rgb(209,72,65);"">info@vitabella.com</span></a><span style=""color: rgb(209,72,65);""> </span>and our Customer Support team will respond as soon as possible.</p>
"
"Why does Vita Bella charge a membership fee, and what does it include?","<p>The membership fee enables us to provide personalized, high-quality care tailored to your wellness goals. By becoming a member, you gain access to:</p>
<ul>
<li>Live Provider Consultations: One-on-one telemedicine sessions with our licensed providers to discuss and manage your health needs.</li>
<li>Wholesale-Priced Medications: Enjoy from significant savings on medications, often at prices lower than traditional insurance copays.</li>
<li>Discounted Lab Panels: Access essential lab tests at reduced rates to monitor and optimize your health.&nbsp;</li>
</ul>
"
"Which membership plan is right for me?","<p>Vita Bella offers tailored membership packages designed to meet a variety of needs. Specific details about our membership tiers can be found by visiting our Membership Page. When choosing a membership plan, consider the following factors:&nbsp;</p>
<ul>
<li>Healthcare Needs: Assess your current health goals and the frequency of services you anticipate using.</li>
<li>Budget: Determine which plan offers the best value based on the services included and your financial considerations.</li>
<li>Additional Benefits: Some plans may offer exclusive perks or services that align with your wellness objectives.</li>
</ul>
"
"Can I have my Vita Bella telehealth visit while I am traveling?","<p>If you're traveling within your home state, have a strong internet connection, and are not driving, we’re happy to see you! However, due to state regulations, we are unable to conduct telehealth visits if you are outside your home state or outside the country. Please wait until you return to your home state to schedule your appointment.</p>
"
